Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation
Chung et al NCommunications	10.1038/ncomms15081	Woosung Chung, Hye Hyeon Eum, Hae-Ock Lee, Kyung-Min Lee, Han-Byoel Lee, Kyu-Tae Kim, Han Suk Ryu, Sangmin Kim, Jeong Eon Lee, Yeon Hee Park, Zhengyan Kan, Wonshik Han, Woong-Yang Park	Nat Commun	Single-cell RNA-seq enables comprehensive tumour and immune cell profiling in primary breast cancer	20170505.0	-	515	Human	Breast	SMARTer (C1)	GSE75688		RNA-seq	breast cancer			13.0	Yes	No	No	Yes	No		
Fletcher et al CSC	10.1016/j.stem.2017.04.003	Russell B. Fletcher, Diya Das, Levi Gadye, Kelly N. Street, Ariane Baudhuin, Allon Wagner, Michael B. Cole, Quetzal Flores, Yoon Gi Choi, Nir Yosef, Elizabeth Purdom, Sandrine Dudoit, Davide Risso, John Ngai	Cell Stem Cell	Deconstructing Olfactory Stem Cell Trajectories at Single-Cell Resolution	20170511.0	-	849	Mouse		SMARTer (C1)	GSE95601		RNA-seq	Olfactory epithelium										
Sugimura et al Nature	10.1038/nature22370	Ryohichi Sugimura, Deepak Kumar Jha, Areum Han, Clara Soria-Valles, Edroaldo Lummertz da Rocha, Yi-Fen Lu, Jeremy A. Goettel, Erik Serrao, R. Grant Rowe, Mohan Malleshaiah, Irene Wong, Patricia Sousa, Ted N. Zhu, Andrea Ditadi, Gordon Keller, Alan N. Engelman, Scott B. Snapper, Sergei Doulatov, George Q. Daley	Nature	Haematopoietic stem and progenitor cells from human pluripotent stem cells	20170517.0	-	1,989	Human		InDrops	GSE85112		RNA-seq	Hematopoietic Stem and Progenitor Cells			3.0	Yes	No	No	No	Yes		
Lasrado et al Science	10.1126/science.aam7511	Reena Lasrado, Werend Boesmans, Jens Kleinjung, Carmen Pin, Donald Bell, Leena Bhaw, Sarah McCallum, Hui Zong, Liqun Luo, Hans Clevers, Pieter Vanden Berghe, Vassilis Pachnis	Science	Lineage-dependent spatial and functional organization of the mammalian enteric nervous system	20170518.0	-	120	Mouse			E-MTAB-5553		RNA-seq	ENCCs		E12.5, E13					Yes			
Alles et al BMCBiology	10.1186/s12915-017-0383-5	Jonathan Alles, Nikos Karaiskos, Samantha D. Praktiknjo, Stefanie Grosswendt, Philipp Wahle, Pierre-Louis Ruffault, Salah Ayoub, Luisa Schreyer, Anastasiya Boltengagen, Carmen Birchmeier, Robert Zinzen, Christine Kocks, Nikolaus Rajewsky	BMC Biol	Cell fixation and preservation for droplet-based single-cell transcriptomics	20170519.0	10.1101/099473	1,369	Drosophila, Human, Mouse	Brain	Drop-seq	GSE89164		RNA-seq	Hindbrain and cerebellum		Postnatal		Yes				Yes		
Zhang et al NPlants	10.1038/nplants.2017.79	Jun Zhang, Qingpei Huang, Sheng Zhong, Andrea Bleckmann, Jiaying Huang, Xinyang Guo, Qing Lin, Hongya Gu, Juan Dong, Thomas Dresselhaus, Li-Jia Qu	Nature Plants	Sperm cells are passive cargo of the pollen tube in plant fertilization	20170606.0	-	2	Arabidopsis thaliana		Smart-seq2	GSE98145		RNA-seq	Pollen grains				No	No	No	No	No		
Keren-Shaul et al Cell	10.1016/j.cell.2017.05.018	Hadas Keren-Shaul, Amit Spinrad, Assaf Weiner, Orit Matcovitch-Natan, Raz Dvir-Szternfeld, Tyler K. Ulland, Eyal David, Kuti Baruch, David Lara-Astaiso, Beata Toth, Shalev Itzkovitz, Marco Colonna, Michal Schwartz, Ido Amit	Cell	A Unique Microglia Type Associated with Restricting Development of Alzheimer’s Disease	20170608.0	-	8,016	Mouse	Brain	MARS-seq	GSE98969		RNA-seq	Immune cells in whole brain	WT and Tg-AD	Adult								
Antolovic et al CBiology	10.1016/j.cub.2017.05.028	Vlatka Antolović, Agnes Miermont, Adam M. Corrigan, Jonathan R. Chubb	Current Biology	Generation of Single-Cell Transcript Variability by Repression	20170608.0	-	433	Dictyostelium	Whole organism	SMARTer (C1)			RNA-seq	Whole organism				No	Yes					
Zheng et al Cell	10.1016/j.cell.2017.05.035	Chunhong Zheng, Liangtao Zheng, Jae-Kwang Yoo, Huahu Guo, Yuanyuan Zhang, Xinyi Guo, Boxi Kang, Ruozhen Hu, Julie Y. Huang, Qiming Zhang, Zhouzerui Liu, Minghui Dong, Xueda Hu, Wenjun Ouyang, Jirun Peng, Zemin Zhang	Cell	Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing	20170615.0	-	5,063	Human		Tang	GSE98638		RNA-seq											
Nirschl et al Cell	10.1016/j.cell.2017.06.016	Christopher J. Nirschl, Mayte Suárez-Fariñas, Benjamin Izar, Sanjay Prakadan, Ruth Dannenfelser, Itay Tirosh, Yong Liu, Qian Zhu, K. Sanjana P. Devi, Shaina L. Carroll, David Chau, Melika Rezaee, Tae-Gyun Kim, Ruiqi Huang, Judilyn Fuentes-Duculan, George X. Song-Zhao, Nicholas Gulati, Michelle A. Lowes, Sandra L. King, Francisco J. Quintana, Young-suk Lee, James G. Krueger, Kavita Y. Sarin, Charles H. Yoon, Levi Garraway, Aviv Regev, Alex K. Shalek, Olga Troyanskaya, Niroshana Anandasabapathy	Cell	IFNγ-Dependent Tissue-Immune Homeostasis Is Co-opted in the Tumor Microenvironment	20170629.0	-	333	Human		Smart-seq2	GSE100337		RNA-seq											
Theurich et al CMetabolism	10.1016/j.cmet.2017.05.018	Sebastian Theurich, Eva Tsaousidou, Ruth Hanssen, Adelheid M. Lempradl, Jan Mauer, Katharina Timper, Katharina Schilbach, Kat Folz-Donahue, Christian Heilinger, Veronika Sexl, John Andrew Pospisilik, F. Thomas Wunderlich, Jens C. Brüning	Cell Metabolism	IL-6/Stat3-Dependent Induction of a Distinct, Obesity-Associated NK Cell Subpopulation Deteriorates Energy and Glucose Homeostasis	20170705.0	-	63	Human, Mouse		CEL-seq2	GSE99068		RNA-seq											
Wang et al CCell	10.1016/j.ccell.2017.06.003	Qianghu Wang, Baoli Hu, Xin Hu, Hoon Kim, Massimo Squatrito, Lisa Scarpace, Ana C. deCarvalho, Sali Lyu, Pengping Li, Yan Li, Floris Barthel, Hee Jin Cho, Yu-Hsi Lin, Nikunj Satani, Emmanuel Martinez-Ledesma, Siyuan Zheng, Edward Chang, Charles-Etienne Gabriel Sauvé, Adriana Olar, Zheng D. Lan, Gaetano Finocchiaro, Joanna J. Phillips, Mitchel S. Berger, Konrad R. Gabrusiewicz, Guocan Wang, Eskil Eskilsson, Jian Hu, Tom Mikkelsen, Ronald A. DePinho, Florian Muller, Amy B. Heimberger, Erik P. Sulman, Do-Hyun Nam, Roel G.W. Verhaak	Cancer Cell	Tumor Evolution of Glioma-Intrinsic Gene Expression Subtypes Associates with Immunological Changes in the Microenvironment	20170710.0		133	Human	Brain	SMARTer (C1)			RNA-seq	Glioblastoma										
Mohammed et al CReports	10.1016/j.celrep.2017.07.009	Hisham Mohammed, Irene Hernando-Herraez, Aurora Savino, Antonio Scialdone, Iain Macaulay, Carla Mulas, Tamir Chandra, Thierry Voet, Wendy Dean, Jennifer Nichols, John C. Marioni, Wolf Reik	Cell Reports	Single-Cell Landscape of Transcriptional Heterogeneity and Cell Fate Decisions during Mouse Early Gastrulation	20170801.0	-	1,219	Mouse	Embryo	G&T-seq	GSE100597		RNA-seq	E3.5 to E6.5 embryos		E3.5 - E6.5	8.0	Yes	Yes	No	Yes	No		
See et al NCommunications	10.1038/s41467-017-00319-8	Kelvin See, Wilson L. W. Tan, Eng How Lim, Zenia Tiang, Li Ting Lee, Peter Y. Q. Li, Tuan D. A. Luu, Matthew Ackers-Johnson, Roger S. Foo	Nat Commun	Single cardiomyocyte nuclear transcriptomes reveal a lincRNA-regulated de-differentiation and cell cycle stress-response in vivo	20170802.0	-		Mouse		SMARTer (C1)	SRP049944		RNA-seq	Cardiomyocytes										
Cao et al Science	10.1126/science.aam8940	Junyue Cao, Jonathan S. Packer, Vijay Ramani, Darren A. Cusanovich, Chau Huynh, Riza Daza, Xiaojie Qiu, Choli Lee, Scott N. Furlan, Frank J. Steemers, Andrew Adey, Robert H. Waterston, Cole Trapnell, Jay Shendure	Science	Comprehensive single-cell transcriptional profiling of a multicellular organism	20170817.0	10.1101/104844	42,000	C elegans	Whole organism	sci-RNA-seq	GSE98561		RNA-seq	Whole larva		L2	29.0							None
Habib et al NMeth	10.1038/nmeth.4407	Naomi Habib, Inbal Avraham-Davidi, Anindita Basu, Tyler Burks, Karthik Shekhar, Matan Hofree, Sourav R Choudhury, François Aguet, Ellen Gelfand, Kristin Ardlie, David A Weitz, Orit Rozenblatt-Rosen, Feng Zhang, Aviv Regev	Nat Methods	Massively parallel single-nucleus RNA-seq with DroNc-seq	20170828.0	10.1101/115196	39,111	Mouse, Human	Brain	DroNc-Seq	GSE71585		RNA-seq	Prefrontal cortex and hippocampus		Adult	21.0					Yes		
Peterson et al NBT	10.1038/nbt.3973	Vanessa M Peterson, Kelvin Xi Zhang, Namit Kumar, Jerelyn Wong, Lixia Li, Douglas C Wilson, Renee Moore, Terrill K McClanahan, Svetlana Sadekova, Joel A Klappenbach	Nat Biotechnol	Multiplexed quantification of proteins and transcripts in single cells	20170830.0	-	19,111	Human		REAP-seq	GSE100501		RNA-seq	CD8 lymphocytes				Yes				Yes		
Tang et al JEM	10.1084/jem.20170976	Qin Tang, Sowmya Iyer, Riadh Lobbardi, John C. Moore, Huidong Chen, Caleb Lareau, Christine Hebert, McKenzie L. Shaw, Cyril Neftel, Mario L. Suva, Craig J. Ceol, Andre Bernards, Martin Aryee, Luca Pinello, Iain A. Drummond, David M. Langenau	J. Exp. Med.	Dissecting hematopoietic and renal cell heterogeneity in adult zebrafish at single-cell resolution using RNA sequencing	20170906.0	-	246	Zebrafish		Smart-seq2	GSE100911		RNA-seq											
Lee et al Cell	10.1016/j.cell.2017.07.028	Joo-Hyeon Lee, Tuomas Tammela, Matan Hofree, Jinwook Choi, Nemanja Despot Marjanovic, Seungmin Han, David Canner, Katherine Wu, Margherita Paschini, Dong Ha Bhang, Tyler Jacks, Aviv Regev, Carla F. Kim	Cell	Anatomically and Functionally Distinct Lung Mesenchymal Populations Marked by Lgr5 and Lgr6	20170907.0	-	384	Mouse		Smart-seq2	GSE101334		RNA-seq	smooth muscle actin cell in the lung			5.0	Yes				Yes		
Paul et al Cell	10.1016/j.cell.2017.08.032	Anirban Paul, Megan Crow, Ricardo Raudales, Miao He, Jesse Gillis, Z. Josh Huang	Cell	Transcriptional Architecture of Synaptic Communication Delineates GABAergic Neuron Identity	20170921.0		584	Mouse	Brain	CEL-seq	GSE92522		RNA-seq	Motor and somatosensory cortex		6 well old								
Poran et al Nature	10.1038/nature24280	Asaf Poran, Christopher Nötzel, Omar Aly, Nuria Mencia-Trinchant, Chantal T. Harris, Monica L. Guzman, Duane C. Hassane, Olivier Elemento, Björn F. C. Kafsack	Nature	Single-cell RNA sequencing reveals a signature of sexual commitment in malaria parasites	20170922.0	-	18,000	Plasmodium	Whole organism	Drop-seq	SRP116718		RNA-seq	whole organism			16.0	Yes	Yes			Yes		
van den Brink et al NMethods	10.1038/nmeth.4437	Susanne C van den Brink, Fanny Sage, Ábel Vértesy, Bastiaan Spanjaard, Josi Peterson-Maduro, Chloé S Baron, Catherine Robin, Alexander van Oudenaarden	Nat Methods	Single-cell sequencing reveals dissociation-induced gene expression in tissue subpopulations	20170929.0	-		Mouse, Zebrafish		CEL-Seq & SORT-Seq	GSE85755		RNA-seq											
Rizzetto et al SReports	10.1038/s41598-017-12989-x	Simone Rizzetto, Auda A. Eltahla, Peijie Lin, Rowena Bull, Andrew R. Lloyd, Joshua W. K. Ho, Vanessa Venturi, Fabio Luciani	Sci Rep	Impact of sequencing depth and read length on single cell RNA sequencing data of T cells	20171002.0	10.1101/134130	72	Human		Smart-seq2	E-MTAB-4850		RNA-seq											
Briggs et al eLife	10.7554/eLife.26945	James Alexander Briggs, Victor C Li, Seungkyu Lee, Clifford J Woolf, Allon Klein, Marc W Kirschner	eLife	Mouse embryonic stem cells can differentiate via multiple paths to the same state	20171009.0	10.1101/124594	5,405	Mouse		InDrops	GSE97390		RNA-seq											
Guo et al CSC	10.1016/j.stem.2017.09.003	Jingtao Guo, Edward J. Grow, Chongil Yi, Hana Mlcochova, Geoffrey J. Maher, Cecilia Lindskog, Patrick J. Murphy, Candice L. Wike, Douglas T. Carrell, Anne Goriely, James M. Hotaling, Bradley R. Cairns	Cell Stem Cell	Chromatin and Single-Cell RNA-Seq Profiling Reveal Dynamic Signaling and Metabolic Transitions during Human Spermatogonial Stem Cell Development	20171011.0	-	175	Human		SMARTer (C1)	GSE92280		RNA-seq	Spermatogonial stem cells			4.0							
Mathys et al CReports	10.1016/j.celrep.2017.09.039	Hansruedi Mathys, Chinnakkaruppan Adaikkan, Fan Gao, Jennie Z. Young, Elodie Manet, Martin Hemberg, Philip L. De Jager, Richard M. Ransohoff, Aviv Regev, Li-Huei Tsai	Cell Reports	Temporal Tracking of Microglia Activation in Neurodegeneration at Single-Cell Resolution	20171013.0	-	1,685	Mouse	Brain	Smart-seq2	GSE103334		RNA-seq	Microglia in hippocampus	WT and CK-p25	Adult	8.0	Yes				Yes		
Wu et al Neuron	10.1016/j.neuron.2017.09.026	Ye Emily Wu, Lin Pan, Yanning Zuo, Xinmin Li, Weizhe Hong	Neuron	Detecting Activated Cell Populations Using Single-Cell RNA-Seq	20171013.0	-	20,679	Mouse	Brain	Drop-seq	GSE103976		RNA-seq	Medial amygdala		Adult								
Darmanis et al CReports	10.1016/j.celrep.2017.10.030	Spyros Darmanis, Steven A. Sloan, Derek Croote, Marco Mignardi, Sophia Chernikova, Peyman Samghababi, Ye Zhang, Norma Neff, Mark Kowarsky, Christine Caneda, Gordon Li, Steven D. Chang, Ian David Connolly, Yingmei Li, Ben A. Barres, Melanie Hayden Gephart, Stephen R. Quake	Cell Reports	Single-Cell RNA-Seq Analysis of Infiltrating Neoplastic Cells at the Migrating Front of Human Glioblastoma	20171031.0		3,589	Human	Brain	Smart-seq2	GSE84465		RNA-seq	Glioblastoma								Yes		
Haber et al Nature	10.1038/nature24489	Adam L. Haber, Moshe Biton, Noga Rogel, Rebecca H. Herbst, Karthik Shekhar, Christopher Smillie, Grace Burgin, Toni M. Delorey, Michael R. Howitt, Yarden Katz, Itay Tirosh, Semir Beyaz, Danielle Dionne, Mei Zhang, Raktima Raychowdhury, Wendy S. Garrett, Orit Rozenblatt-Rosen, Hai Ning Shi, Omer Yilmaz, Ramnik J. Xavier, Aviv Regev	Nature	A single-cell survey of the small intestinal epithelium	20171107.0	-	53,193	Mouse	Small intestine	SMART-Seq2 & GemCode	GSE92332		RNA-seq	epithelial cells			30.0	Yes	Yes	No	Yes	Yes		
Schafer et al Nature	10.1038/nature24676	Sebastian Schafer, Sivakumar Viswanathan, Anissa A. Widjaja, Wei-Wen Lim, Aida Moreno-Moral, Daniel M. DeLaughter, Benjamin Ng, Giannino Patone, Kingsley Chow, Ester Khin, Jessie Tan, Sonia P. Chothani, Lei Ye, Owen J. L. Rackham, Nicole S. J. Ko, Norliza E. Sahib, Chee Jian Pua, Nicole T. G. Zhen, Chen Xie, Mao Wang, Henrike Maatz, Shiqi Lim, Kathrin Saar, Susanne Blachut, Enrico Petretto, Sabine Schmidt, Tracy Putoczki, Nuno Guimarães-Camboa, Hiroko Wakimoto, Sebastiaan van Heesch, Kristmundur Sigmundsson, See L. Lim, Jia L. Soon, Victor T. T. Chao, Yeow L. Chua, Teing E. Tan, Sylvia M. Evans, Yee J. Loh, Muhammad H. Jamal, Kim K. Ong, Kim C. Chua, Boon-Hean Ong, Mathew J. Chakaramakkil, Jonathan G. Seidman, Christine E. Seidman, Norbert Hubner, Kenny Y. K. Sin, Stuart A. Cook	Nature	IL-11 is a crucial determinant of cardiovascular fibrosis	20171113.0	-	4,550	Mouse	Heart	Chromium	GSE107909		RNA-seq	Cardiac fibroblasts			18.0	Yes	No	No	No	Yes		
Pal et al NCommunications	10.1038/s41467-017-01560-x	Bhupinder Pal, Yunshun Chen, François Vaillant, Paul Jamieson, Lavinia Gordon, Anne C. Rios, Stephen Wilcox, Naiyang Fu, Kevin He Liu, Felicity C. Jackling, Melissa J. Davis, Geoffrey J. Lindeman, Gordon K. Smyth, Jane E. Visvader	Nat Commun	Construction of developmental lineage relationships in the mouse mammary gland by single-cell RNA profiling	20171114.0	-	3,768	Mouse	Breast	Chromium & SMARTer (C1)	GSE103275		RNA-seq	mammary gland epithelial cells			7.0							
Wallrapp et al Nature	10.1038/nature24480	Antonia Wallrapp, Samantha J. Riesenfeld, Patrick R. Burkett, Raja-Elie E. Abdulnour, Jackson Nyman, Danielle Dionne, Matan Hofree, Michael S. Cuoco, Christopher Rodman, Daneyal Farouq, Brian J. Haas, Timothy L. Tickle, John J. Trombetta, Pankaj Baral, Christoph S. N. Klose, Tanel Mahlakõiv, David Artis, Orit Rozenblatt-Rosen, Isaac M. Chiu, Bruce D. Levy, Monika S. Kowalczyk, Aviv Regev, Vijay K. Kuchroo	Nature	Erratum: The neuropeptide NMU amplifies ILC2-driven allergic lung inflammation	20171115.0	-	24,793	Mouse		Chromium & Smart-seq2	GSE102299		RNA-seq	ILCs			11.0	Yes				Yes		
Herring et al CSystems	10.1016/j.cels.2017.10.012	Charles A. Herring, Amrita Banerjee, Eliot T. McKinley, Alan J. Simmons, Jie Ping, Joseph T. Roland, Jeffrey L. Franklin, Qi Liu, Michael J. Gerdes, Robert J. Coffey, Ken S. Lau	Cell Systems	Unsupervised Trajectory Analysis of Single-Cell RNA-Seq and Imaging Data Reveals Alternative Tuft Cell Origins in the Gut	20171115.0	-	2,402	Mouse	Colon	InDrops	GSE102698		RNA-seq	Colonic epithelium										
Li et al Cell	10.1016/j.cell.2017.10.019	Hongjie Li, Felix Horns, Bing Wu, Qijing Xie, Jiefu Li, Tongchao Li, David J. Luginbuhl, Stephen R. Quake, Liqun Luo	Cell	Classifying Drosophila Olfactory Projection Neuron Subtypes by Single-Cell RNA Sequencing	20171116.0		1,842	Drosophila	Brain	Smart-seq2	GSE100058		RNA-seq	Olfactory projection neurons		Pupal and adult								
Hochgarner et al SRep	10.1038/s41598-017-16546-4	Hannah Hochgerner, Peter Lönnerberg, Rebecca Hodge, Jaromir Mikes, Abeer Heskol, Hermann Hubschle, Philip Lin, Simone Picelli, Gioele La Manno, Michael Ratz, Jude Dunne, Syed Husain, Ed Lein, Maithreyan Srinivasan, Amit Zeisel, Sten Linnarsson	Sci Rep	STRT-seq-2i: dual-index 5ʹ single cell and nucleus RNA-seq on an addressable microwell array	20171121.0	10.1101/126268	4,220	Human, Mouse		STRT-Seq-2i	GSE101601		RNA-seq				28.0							
Karamitros et al NImmunology	10.1038/s41590-017-0001-2	Dimitris Karamitros, Bilyana Stoilova, Zahra Aboukhalil, Fiona Hamey, Andreas Reinisch, Marina Samitsch, Lynn Quek, Georg Otto, Emmanouela Repapi, Jessica Doondeea, Batchimeg Usukhbayar, Julien Calvo, Stephen Taylor, Nicolas Goardon, Emmanuelle Six, Francoise Pflumio, Catherine Porcher, Ravindra Majeti, Berthold Göttgens, Paresh Vyas	Nat Immunol	Single-cell analysis reveals the continuum of human lympho-myeloid progenitor cells	20171121.0	-	420	Human		Smart-seq2	GSE100618		RNA-seq	lympho-myeloid progenitors										
Pfeffer et al FICN	10.3389/fncel.2017.00376	Carsten K. Pfeffer, Riccardo Beltramo	Front. Cell. Neurosci.	Correlating Anatomy and Function with Gene Expression in Individual Neurons by Combining in Vivo Labeling, Patch Clamp, and Single Cell RNA-seq	20171130.0	-	594	Mouse		CEL-Seq			RNA-seq	neurons			7.0	No	No	No	Yes	Yes		
Puram et al Cell	10.1016/j.cell.2017.10.044	Sidharth V. Puram, Itay Tirosh, Anuraag S. Parikh, Anoop P. Patel, Keren Yizhak, Shawn Gillespie, Christopher Rodman, Christina L. Luo, Edmund A. Mroz, Kevin S. Emerick, Daniel G. Deschler, Mark A. Varvares, Ravi Mylvaganam, Orit Rozenblatt-Rosen, James W. Rocco, William C. Faquin, Derrick T. Lin, Aviv Regev, Bradley E. Bernstein	Cell	Single-Cell Transcriptomic Analysis of Primary and Metastatic Tumor Ecosystems in Head and Neck Cancer	20171130.0	-	5,902	Human		Smart-seq2	GSE103322		RNA-seq	head and neck cancer			14.0	Yes						
Weintraub et al Cell	10.1016/j.cell.2017.11.008	Abraham S. Weintraub, Charles H. Li, Alicia V. Zamudio, Alla A. Sigova, Nancy M. Hannett, Daniel S. Day, Brian J. Abraham, Malkiel A. Cohen, Behnam Nabet, Dennis L. Buckley, Yang Eric Guo, Denes Hnisz, Rudolf Jaenisch, James E. Bradner, Nathanael S. Gray, Richard A. Young	Cell	YY1 Is a Structural Regulator of Enhancer-Promoter Loops	20171207.0	-	5,017	Mouse	Embryo	Chromium	GSE103574		RNA-seq	Embryoid bodies			3.0	Yes	No	No	Yes	Yes		
Hu et al MolCell	10.1016/j.molcel.2017.11.017	Peng Hu, Emily Fabyanic, Deborah Y. Kwon, Sheng Tang, Zhaolan Zhou, Hao Wu	Molecular Cell	Dissecting Cell-Type Composition and Activity-Dependent Transcriptional State in Mammalian Brains by Massively Parallel Single-Nucleus RNA-Seq	20171207.0	10.1101/154476	18,194	Mouse	Brain	sNucDrop-seq	GSE106678		RNA-seq	Cortex		10 weeks	40.0							
Nowakowski et al Science	10.1126/science.aap8809	Tomasz J. Nowakowski, Aparna Bhaduri, Alex A. Pollen, Beatriz Alvarado, Mohammed A. Mostajo-Radji, Elizabeth Di Lullo, Maximilian Haeussler, Carmen Sandoval-Espinosa, Siyuan John Liu, Dmitry Velmeshev, Johain Ryad Ounadjela, Joe Shuga, Xiaohui Wang, Daniel A. Lim, Jay A. West, Anne A. Leyrat, W. James Kent, Arnold R. Kriegstein	Science	Spatiotemporal gene expression trajectories reveal developmental hierarchies of the human cortex	20171207.0	-	4,261	Human	Brain	SMARTer (C1)	phs000989.v3		RNA-seq	Prefrontal and visual cortex		Embryo	47.0	Yes				Yes		
Bach et al NCommunications	10.1038/s41467-017-02001-5	Karsten Bach, Sara Pensa, Marta Grzelak, James Hadfield, David J. Adams, John C. Marioni, Walid T. Khaled	Nat Commun	Differentiation dynamics of mammary epithelial cells revealed by single-cell RNA sequencing	20171208.0	-	23,184	Mouse	Breast	Chromium	GSE106273		RNA-seq	mammary epithelial cells			15.0	Yes	Yes	No	Yes	Yes		
Hrvatin et al NNeuroscience	10.1038/s41593-017-0029-5	Sinisa Hrvatin, Daniel R. Hochbaum, M. Aurel Nagy, Marcelo Cicconet, Keiramarie Robertson, Lucas Cheadle, Rapolas Zilionis, Alex Ratner, Rebeca Borges-Monroy, Allon M. Klein, Bernardo L. Sabatini, Michael E. Greenberg	Nat Neurosci	Single-cell analysis of experience-dependent transcriptomic states in the mouse visual cortex	20171208.0	-	114,601	Mouse	Brain	InDrops	GSE102827		RNA-seq	Visual cortex	Visual stimulus		30.0	Yes	No	No	Yes	Yes	gs://h5ad/2017-12-Hrvatin-et-al-NNeuroscience	Nanodroplet dilution
Lake et al NBT	10.1038/nbt.4038	Blue B Lake, Song Chen, Brandon C Sos, Jean Fan, Gwendolyn E Kaeser, Yun C Yung, Thu E Duong, Derek Gao, Jerold Chun, Peter V Kharchenko, Kun Zhang	Nat Biotechnol	Integrative single-cell analysis of transcriptional and epigenetic states in the human adult brain	20171211.0	10.1101/128520	36,166	Human	Brain	snDrop-seq	GSE97930		RNA-seq	Visual cortex, frontal cortex, and cerebellum		Adult	35.0	Yes	Yes	No	Yes	Yes		
Kang et al NBT	10.1038/nbt.4042	Hyun Min Kang, Meena Subramaniam, Sasha Targ, Michelle Nguyen, Lenka Maliskova, Elizabeth McCarthy, Eunice Wan, Simon Wong, Lauren Byrnes, Cristina M Lanata, Rachel E Gate, Sara Mostafavi, Alexander Marson, Noah Zaitlen, Lindsey A Criswell, Chun Jimmie Ye	Nat Biotechnol	Multiplexed droplet single-cell RNA-sequencing using natural genetic variation	20171211.0	10.1101/118778	43,095	Human	Blood	Chromium			RNA-seq	PBMCs										
Artegiani et al CReports	10.1016/j.celrep.2017.11.050	Benedetta Artegiani, Anna Lyubimova, Mauro Muraro, Johan H. van Es, Alexander van Oudenaarden, Hans Clevers	Cell Reports	A Single-Cell RNA Sequencing Study Reveals Cellular and Molecular Dynamics of the Hippocampal Neurogenic Niche	20171212.0		1,408	Mouse	Brain	SORT-seq	GSE106447		RNA-seq	Niche cells in dentate gyrus		Adult								
Ibarra-Soria et al NCB	10.1038/s41556-017-0013-z	Ximena Ibarra-Soria, Wajid Jawaid, Blanca Pijuan-Sala, Vasileios Ladopoulos, Antonio Scialdone, David J. Jörg, Richard C. V. Tyser, Fernando J. Calero-Nieto, Carla Mulas, Jennifer Nichols, Ludovic Vallier, Shankar Srinivas, Benjamin D. Simons, Berthold Göttgens, John C. Marioni	Nat Cell Biol	Defining murine organogenesis at single-cell resolution reveals a role for the leukotriene pathway in regulating blood progenitor formation	20171220.0	-	27,000	Mouse	Embryo	Chromium	E-MTAB-6153		RNA-seq	E8.5 embryos		E8.5	20.0	Yes	Yes	No	Yes	Yes		
Müller et al GBiology	10.1186/s13059-017-1362-4	Sören Müller, Gary Kohanbash, S. John Liu, Beatriz Alvarado, Diego Carrera, Aparna Bhaduri, Payal B. Watchmaker, Garima Yagnik, Elizabeth Di Lullo, Martina Malatesta, Nduka M. Amankulor, Arnold R. Kriegstein, Daniel A. Lim, Manish Aghi, Hideho Okada, Aaron Diaz	Genome Biol	Single-cell profiling of human gliomas reveals macrophage ontogeny as a basis for regional differences in macrophage activation in the tumor microenvironment	20171220.0		768	Human	Brain	SMARTer (C1)	EGAS00001002185		RNA-seq	Primary glioma										
Yuzwa et al CReports	10.1016/j.celrep.2017.12.017	Scott A. Yuzwa, Michael J. Borrett, Brendan T. Innes, Anastassia Voronova, Troy Ketela, David R. Kaplan, Gary D. Bader, Freda D. Miller	Cell Reports	Developmental Emergence of Adult Neural Stem Cells as Revealed by Single-Cell Transcriptional Profiling	20171226.0	-	9,972	Mouse	Brain	Drop-seq	GSE107122		RNA-seq	Embryonic cortex			16.0	Yes	Yes	No	Yes	Yes		
Chevee et al CReports	10.1016/j.celrep.2017.12.046	Maxime Chevée, Johanna De Jong Robertson, Gabrielle Heather Cannon, Solange Pezon Brown, Loyal Andrew Goff	Cell Reports	Variation in Activity State, Axonal Projection, and Position Define the Transcriptional Identity of Individual Neocortical Projection Neurons	20180109.0	-	1,023	Mouse	Brain	Smart-seq2	GSE107632		RNA-seq	Neurons			2.0	Yes	Yes	No	Yes	Yes		
Zheng et al Hepatology	10.1002/hep.29778	Hongping Zheng, Yotsawat Pomyen, Maria Olga Hernandez, Caiyi Li, Ferenc Livak, Wei Tang, Hien Dang, Tim F. Greten, Jeremy L. Davis, Yongmei Zhao, Monika Mehta, Yelena Levin, Jyoti Shetty, Bao Tran, Anuradha Budhu, Xin Wei Wang	Hepatology	Single-cell analysis reveals cancer stem cell heterogeneity in hepatocellular carcinoma	20180110.0	-	3,965	Mouse		GemCode & SMARTer	GSE103591		RNA-seq	Hepatocellular carcinoma			4.0	Yes	No	No	Yes	Yes		
Hochgerner et al NNeuroscience	10.1038/s41593-017-0056-2	Hannah Hochgerner, Amit Zeisel, Peter Lönnerberg, Sten Linnarsson	Nat Neurosci	Conserved properties of dentate gyrus neurogenesis across postnatal development revealed by single-cell RNA sequencing	20180112.0		33,939	Mouse	Brain	Chromium & STRT-seq (C1)	GSE95753		RNA-seq	Dentate gyrus		4 postnatal stages						Yes		
